127.0.0.1 - - [02/Jun/2016:05:56:35 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jun/2016:05:56:38 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [02/Jun/2016:05:59:20 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [02/Jun/2016:05:59:20 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:02:34 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:02:35 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:02:35 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:03:52 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:03:52 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:06:31 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:06:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:06:32 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:07:01 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:07:21 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:07:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:07:21 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:07:23 +0530] "GET /Testingproject/index.jsp?uname=myusername&pass=sendpasswordhere HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:08:03 +0530] "GET /Testingproject/index.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:08:03 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:08:03 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jun/2016:06:08:08 +0530] "GET /Testingproject/index.jsp?uname=myusername&pass=sendpasswordhere HTTP/1.1" 200 415
